Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
New England,2014,1,517,,373,,108,,23,,5,,8,,36,,,
Mid. Atlantic,2014,1,2026,,1411,,455,,110,,34,,15,,118,,,
E.N. Central,2014,1,1453,,983,,330,,94,,27,,19,,89,,,
W.N. Central,2014,1,543,,354,,131,,32,,11,,15,,51,,,
S. Atlantic,2014,1,966,,610,,252,,66,,14,,24,,73,,,
E.S. Central,2014,1,753,,462,,205,,52,,20,,14,,61,,,
W.S. Central,2014,1,1267,,824,,317,,89,,23,,14,,69,,,
Mountain,2014,1,1135,,809,,240,,60,,18,,8,,75,,,
Pacific,2014,1,1649,,1181,,337,,80,,36,,15,,139,,,
Total¶,2014,1,10309,,7007,,2375,,606,,188,,132,,711,,,
"Boston, MA",2014,1,108,,77,,18,,7,,2,,4,,6,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"San Antonio, TX",2014,1,25,,18,,7,,,-,,-,,-,2,,"San Antonio, TX
(29.42458351300047, -98.49460914499969)",
"Pasadena, CA",2014,1,27,,22,,1,,2,,2,,,-,3,,"Pasadena, CA
(34.14745413100047, -118.14426554199969)",
"Portland, OR",2014,1,112,,74,,30,,7,,1,,,-,1,,"Portland, OR
(45.511787169000456, -122.6756275729997)",
"Peoria, IL",2014,1,56,,41,,12,,3,,,-,,-,2,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Camden, NJ",2014,1,22,,13,,7,,1,,,-,1,,3,,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Savannah, GA",2014,1,41,,24,,11,,4,,,-,2,,3,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"South Bend, IN",2014,1,27,,22,,2,,1,,,-,2,,2,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Lowell, MA",2014,1,26,,18,,7,,1,,,-,,-,3,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Mobile, AL",2014,1,84,,61,,16,,5,,1,,1,,8,,"Mobile, AL
(30.686391968000464, -88.05323763099966)",
"Cincinnati, OH",2014,1,64,,37,,17,,6,,3,,1,,2,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Elizabeth, NJ",2014,1,22,,12,,10,,,-,,-,,-,1,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Fall River, MA",2014,1,20,,17,,3,,,-,,-,,-,4,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Bridgeport, CT",2014,1,42,,28,,12,,2,,,-,,-,2,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Scranton, PA",2014,1,36,,29,,7,,,-,,-,,-,1,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
